id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,bldgtype,landslope,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,masvnrtype,masvnrarea,exterqual,extercond,foundation,mosold,yrsold,saletype,salecondition,saleprice,lotshape_r,lotshape_desc,landcontour_r,landcontour_desc,bldgtype_r,bldgtype_desc,landslope_r,landslope_desc,housestyle_r,housestyle_desc,roofstyle_r,roofstyle_desc,roofmatl_r,roofmatl_desc,exterior1st_r,exterior1st_desc,masvnrtype_r,masvnrtype_desc,exterqual_r,exterqual_desc,extercond_r,extercond_desc,foundation_r,foundation_desc,saletype_r,saletype_desc,salecondition_r,salecondition_desc,monthyear
21,60,RL,101.0,14215,IR1,Lvl,1Fam,Gtl,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,380.0,Gd,TA,PConc,11,2006,New,Partial,325300,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2006-11-01
22,45,RM,57.0,7449,Reg,Bnk,1Fam,Gtl,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,6,2007,WD,Normal,139400,0,Regular,1,anked - Quick and significant rise from street grade to building,0,Single-family Detached,0,Gentle slope,2,One and one-half story: 2nd level unfinished,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-06-01
23,20,RL,75.0,9742,Reg,Lvl,1Fam,Gtl,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,BrkFace,281.0,Gd,TA,PConc,9,2008,WD,Normal,230000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-09-01
24,120,RM,44.0,4224,Reg,Lvl,TwnhsE,Gtl,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,None,0.0,TA,TA,PConc,6,2007,WD,Normal,129900,0,Regular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Cement Board,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-06-01
25,20,RL,,8246,IR1,Lvl,1Fam,Gtl,1Story,5,8,1968,2001,Gable,CompShg,Plywood,None,0.0,TA,Gd,CBlock,5,2010,WD,Normal,154000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Plywood,3.0,None,0.0,Average,1.0,Good,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-05-01
26,20,RL,110.0,14230,Reg,Lvl,1Fam,Gtl,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,Stone,640.0,Gd,TA,PConc,7,2009,WD,Normal,256300,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-07-01
27,20,RL,60.0,7200,Reg,Lvl,1Fam,Gtl,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,5,2010,WD,Normal,134800,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-05-01
28,20,RL,98.0,11478,Reg,Lvl,1Fam,Gtl,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,Stone,200.0,Gd,TA,PConc,5,2010,WD,Normal,306000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2010-05-01
29,20,RL,47.0,16321,IR1,Lvl,1Fam,Gtl,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,None,0.0,TA,TA,CBlock,12,2006,WD,Normal,207500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2006-12-01
30,30,RM,60.0,6324,IR1,Lvl,1Fam,Gtl,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,5,2008,WD,Normal,68500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-05-01
31,70,C (all),50.0,8500,Reg,Lvl,1Fam,Gtl,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,None,0.0,TA,Fa,BrkTil,7,2008,WD,Normal,40000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,2,Gambrel,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,0.0,Average,,,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
32,20,RL,,8544,IR1,Lvl,1Fam,Gtl,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,6,2008,WD,Normal,149350,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-06-01
33,20,RL,85.0,11049,Reg,Lvl,1Fam,Gtl,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,1,2008,WD,Normal,179900,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-01-01
34,20,RL,70.0,10552,IR1,Lvl,1Fam,Gtl,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,None,0.0,TA,TA,CBlock,4,2010,WD,Normal,165500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-04-01
35,120,RL,60.0,7313,Reg,Lvl,TwnhsE,Gtl,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,246.0,Ex,TA,PConc,8,2007,WD,Normal,277500,0,Regular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Metal Siding,1.0,Brick Face,2.0,Excellent,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-08-01
36,60,RL,108.0,13418,Reg,Lvl,1Fam,Gtl,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,Stone,132.0,Gd,TA,PConc,9,2006,WD,Normal,309000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2006-09-01
37,20,RL,112.0,10859,Reg,Lvl,1Fam,Gtl,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,6,2009,WD,Normal,145000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-06-01
38,20,RL,74.0,8532,Reg,Lvl,1Fam,Gtl,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,10,2009,WD,Normal,153000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Wood Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-10-01
39,20,RL,68.0,7922,Reg,Lvl,1Fam,Gtl,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,0.0,TA,Gd,CBlock,1,2010,WD,Abnorml,109000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,1.0,Good,1,Cinder Block,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2010-01-01
40,90,RL,65.0,6040,Reg,Lvl,Duplex,Gtl,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,None,0.0,TA,TA,PConc,6,2008,WD,AdjLand,82000,0,Regular,0,Near Flat/Level,2,Duplex,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,0,Asbestos Shingles,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,2,Adjoining Land Purchase,2008-06-01
41,20,RL,84.0,8658,Reg,Lvl,1Fam,Gtl,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,12,2006,WD,Abnorml,160000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2006-12-01
42,20,RL,115.0,16905,Reg,Lvl,1Fam,Gtl,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,None,0.0,TA,Gd,CBlock,7,2007,WD,Normal,170000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,1.0,Good,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
43,85,RL,,9180,IR1,Lvl,1Fam,Gtl,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,12,2007,WD,Normal,144000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,7,Split Foyer,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-12-01
44,20,RL,,9200,IR1,Lvl,1Fam,Gtl,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,None,0.0,TA,TA,CBlock,7,2008,WD,Normal,130250,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
45,20,RL,70.0,7945,Reg,Lvl,1Fam,Gtl,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,None,0.0,TA,TA,CBlock,5,2006,WD,Normal,141000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2006-05-01
46,120,RL,61.0,7658,Reg,Lvl,TwnhsE,Gtl,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,412.0,Ex,TA,PConc,2,2010,WD,Normal,319900,0,Regular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Metal Siding,1.0,Brick Face,2.0,Excellent,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2010-02-01
47,50,RL,48.0,12822,IR1,Lvl,1Fam,Gtl,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,8,2009,WD,Abnorml,239686,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2009-08-01
48,20,FV,84.0,11096,Reg,Lvl,1Fam,Gtl,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,7,2007,WD,Normal,249700,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
49,190,RM,33.0,4456,Reg,Lvl,2fmCon,Gtl,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,6,2009,New,Partial,113000,0,Regular,0,Near Flat/Level,1,Two-family Conversion,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2009-06-01
50,20,RL,66.0,7742,Reg,Lvl,1Fam,Gtl,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,1,2007,WD,Normal,127000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-01-01
51,60,RL,,13869,IR2,Lvl,1Fam,Gtl,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,7,2007,WD,Normal,177000,2,Moderately Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
52,50,RM,52.0,6240,Reg,Lvl,1Fam,Gtl,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,9,2006,WD,Normal,114500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2006-09-01
53,90,RM,110.0,8472,IR2,Bnk,Duplex,Mod,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,None,0.0,Fa,TA,CBlock,5,2010,WD,Normal,110000,2,Moderately Irregular,1,anked - Quick and significant rise from street grade to building,2,Duplex,1,Moderate Slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,,,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-05-01
54,20,RL,68.0,50271,IR1,Low,1Fam,Gtl,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,None,0.0,Gd,TA,CBlock,11,2006,WD,Normal,385000,1,Slightly Irregular,2,Depression,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,7,Wood Shingles,5,Wood Shingles,3.0,None,1.0,Good,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2006-11-01
55,80,RL,60.0,7134,Reg,Bnk,1Fam,Mod,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,None,0.0,TA,TA,CBlock,2,2007,WD,Normal,130000,0,Regular,1,anked - Quick and significant rise from street grade to building,0,Single-family Detached,1,Moderate Slope,8,Split Level,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-02-01
56,20,RL,100.0,10175,IR1,Lvl,1Fam,Gtl,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,BrkFace,272.0,TA,TA,CBlock,7,2008,WD,Normal,180500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
